Input Prompt,Target Response
what's5/13?,5/13=0.38461538461538464
" hey, what's20+4?",20+4=24
what's20-9?,20-9=11
What is 7+20?,7+20=27
What is 9x16?,9x16=144
What is 9-9?,9-9=0
" hey, what's13+3?",13+3=16
what's15/11?,15/11=1.3636363636363635
what's11/4?,11/4=2.75
value of 2/17?,2/17=0.11764705882352941
what's17x12?,17x12=204
" hey, what's8x12?",8x12=96
what's3x19?,3x19=57
" hey, what's7x17?",7x17=119
" hey, what's12-19?",12-19=-7
What is 19x7?,19x7=133
value of 1+10?,1+10=11
value of 17/5?,17/5=3.4
" hey, what's6x9?",6x9=54
what's19x12?,19x12=228
what's5x6?,5x6=30
value of 5/11?,5/11=0.45454545454545453
value of 5+2?,5+2=7
value of 5+7?,5+7=12
What is 15-6?,15-6=9
what's9/10?,9/10=0.9
what's15-4?,15-4=11
" hey, what's15-17?",15-17=-2
value of 16-5?,16-5=11
" hey, what's6x13?",6x13=78
" hey, what's7/9?",7/9=0.7777777777777778
value of 15-9?,15-9=6
" hey, what's13-3?",13-3=10
what's17-15?,17-15=2
what's18+15?,18+15=33
" hey, what's19+20?",19+20=39
What is 20+2?,20+2=22
" hey, what's5-7?",5-7=-2
What is 13x7?,13x7=91
" hey, what's5x17?",5x17=85
What is 20+10?,20+10=30
value of 5/7?,5/7=0.7142857142857143
" hey, what's17/20?",17/20=0.85
value of 1x2?,1x2=2
What is 5x15?,5x15=75
What is 2-11?,2-11=-9
value of 13x9?,13x9=117
what's12x20?,12x20=240
what's6-1?,6-1=5
What is 10/20?,10/20=0.5
value of 13-11?,13-11=2
what's7x4?,7x4=28
value of 15+14?,15+14=29
" hey, what's7-17?",7-17=-10
value of 11/18?,11/18=0.6111111111111112
value of 4/9?,4/9=0.4444444444444444
" hey, what's8-3?",8-3=5
What is 1+12?,1+12=13
What is 9x8?,9x8=72
value of 21-5?,21-5=16
What is 20-19?,20-19=1
" hey, what's12x7?",12x7=84
